mass_A
t	x	y
1,772804444E1	-3,223506941E1	5,231662162E1
1,776136667E1	-3,228914548E1	5,197104753E1
1,779468889E1	-3,223085914E1	5,205360795E1
1,782802222E1	-3,227340302E1	5,198115448E1
1,786134444E1	-3,224833492E1	5,203928008E1
1,789466667E1	-3,226934671E1	5,200257348E1
1,792797778E1	-3,226356527E1	5,201969702E1
1,796130000E1	-3,226069850E1	5,201547572E1
1,799463333E1	-3,226508521E1	5,201481458E1
1,802795556E1	-3,226117505E1	5,202808471E1
1,806127778E1	-3,227142608E1	5,201137776E1
1,809460000E1	-3,225591365E1	5,204424289E1
1,812792222E1	-3,227407467E1	5,200730853E1
1,816125556E1	-3,225072615E1	5,211897834E1
1,819457778E1	-3,255066236E1	5,413362605E1
1,822792222E1	-3,433750627E1	6,373387913E1
1,826122222E1	-3,913831548E1	8,296912560E1
1,829454444E1	-4,236491917E1	9,290080223E1
1,832787778E1	-4,294426542E1	9,451089384E1
1,836118889E1	-4,293133092E1	9,438369565E1
1,839452222E1	-4,293720126E1	9,444036261E1
1,842783333E1	-4,292676213E1	9,437581866E1
1,846115556E1	-4,292182750E1	9,442827044E1
1,849455556E1	-4,292501104E1	9,438403747E1
1,852781111E1	-4,292342055E1	9,440402067E1
1,856113333E1	-4,292567094E1	9,439231383E1
1,859445556E1	-4,292468889E1	9,439955724E1
1,862777778E1	-4,292706072E1	9,439622972E1
